,clicksCount,colorDepth,globalTimeStamp,keyMediumCount,keyMediumSpeed,keyMediumTime,middleSpeed,screenDiagonal,screenHeight,screenWidth,screenOrientation,userAgentCodeName,userAgentCoresCount,userAgentDownLink,userAgentEffectiveType,userAgentName,userAgentOnChange,id,windowHistoryLength,userAgentSaveData,userAgentRtt,userAgentPlatform
0,16,24,1602400545997,4,13,612,0.3355765643192785,50,1080,1920,horizontal,Mozilla,14,11,4g,Netscape,,34,4,True,194.0,Linux
1,20,24,1602400602942,7,20,749,0.30711372229635814,50,1080,1920,horizontal,Mozilla,9,17,4g,Netscape,,54,3,True,4.0,MacOS
2,12,24,1602400484097,10,48,927,0.023790042741650093,50,1080,1920,horizontal,Mozilla,13,6,4g,Netscape,,37,4,True,252.0,Linux
3,12,24,1602400559426,7,36,201,-0.23887768027231246,50,1080,1920,horizontal,Mozilla,4,8,4g,Netscape,,66,3,False,150.0,Win32
4,12,24,1602400722332,18,28,819,0.1447961078239867,50,1080,1920,horizontal,Mozilla,15,15,4g,Netscape,,21,4,True,141.0,Win32
5,13,24,1602400725059,9,49,442,-0.06633294713830473,50,1080,1920,horizontal,Mozilla,7,14,4g,Netscape,,53,3,False,8.0,Linux
6,12,24,1602400776140,7,51,950,0.16413425622924754,50,1080,1920,horizontal,Mozilla,12,11,4g,Netscape,,18,3,False,112.0,Win64
7,7,24,1602400570130,7,63,998,-0.01256768948972516,50,1080,1920,horizontal,Mozilla,14,8,4g,Netscape,,1,4,True,107.0,Win32
8,20,24,1602400574104,13,46,629,0.42779372250822834,50,1080,1920,horizontal,Mozilla,12,20,4g,Netscape,,79,4,True,237.0,Win32
9,3,24,1602400713566,10,44,700,0.2950668423141588,50,1080,1920,horizontal,Mozilla,8,14,4g,Netscape,,74,1,True,85.0,Linux
10,1,24,1602400548246,15,12,929,0.5879672662484826,50,1080,1920,horizontal,Mozilla,15,11,4g,Netscape,,77,3,False,231.0,MacOS
11,9,24,1602400523630,8,63,428,0.6640613928724957,50,1080,1920,horizontal,Mozilla,11,9,4g,Netscape,,29,4,False,88.0,Linux
12,15,24,1602400722291,4,30,401,0.3213858918207154,50,1080,1920,horizontal,Mozilla,13,21,4g,Netscape,,86,2,False,30.0,Win64
13,15,24,1602400660563,17,39,983,0.14448204307948792,50,1080,1920,horizontal,Mozilla,15,11,4g,Netscape,,80,2,True,110.0,Win32
14,15,24,1602400743045,4,41,941,0.01953483473741221,50,1080,1920,horizontal,Mozilla,13,12,4g,Netscape,,30,4,False,28.0,Win64
15,14,24,1602400750961,13,20,435,-0.09252903740121983,50,1080,1920,horizontal,Mozilla,9,12,4g,Netscape,,14,2,False,92.0,Win64
16,10,24,1602400656964,0,44,639,0.01493104193255941,50,1080,1920,horizontal,Mozilla,11,14,4g,Netscape,,18,3,False,101.0,Linux
17,13,24,1602400634670,16,31,705,0.45650271753686733,50,1080,1920,horizontal,Mozilla,12,13,4g,Netscape,,23,2,True,18.0,MacOS
18,13,24,1602400464707,8,42,261,-0.16747824455976645,50,1080,1920,horizontal,Mozilla,14,13,4g,Netscape,,28,3,False,44.0,Win64
19,9,24,1602400517974,6,32,822,0.16393536748827772,50,1080,1920,horizontal,Mozilla,7,12,4g,Netscape,,7,1,False,110.0,Linux
20,13,24,1602400664081,4,42,1036,-0.06280987151243267,50,1080,1920,horizontal,Mozilla,10,10,4g,Netscape,,37,4,True,111.0,Win64
21,2,24,1602400493113,8,16,905,0.15810055543799145,50,1080,1920,horizontal,Mozilla,11,11,4g,Netscape,,41,4,False,72.0,Linux
22,10,24,1602400605821,9,49,468,0.804333825455972,50,1080,1920,horizontal,Mozilla,14,11,4g,Netscape,,33,2,False,213.0,MacOS
23,16,24,1602400589723,6,64,931,0.1723836538975928,50,1080,1920,horizontal,Mozilla,15,10,4g,Netscape,,53,2,False,15.0,Linux
24,14,24,1602400743560,6,40,698,0.26088116029260694,50,1080,1920,horizontal,Mozilla,15,6,4g,Netscape,,43,3,True,153.0,Win32
25,15,24,1602400590245,7,46,616,0.3399363044938635,50,1080,1920,horizontal,Mozilla,15,13,4g,Netscape,,20,1,False,74.0,Linux
26,11,24,1602400721314,1,55,659,0.2774631351702316,50,1080,1920,horizontal,Mozilla,19,12,4g,Netscape,,30,5,False,175.0,Linux
27,6,24,1602400648436,13,27,426,0.04484910838959669,50,1080,1920,horizontal,Mozilla,10,9,4g,Netscape,,27,2,True,243.0,MacOS
28,7,24,1602400607255,7,38,246,0.5541430009476226,50,1080,1920,horizontal,Mozilla,12,13,4g,Netscape,,55,2,False,52.0,Win64
29,9,24,1602400539354,8,37,812,-0.3767104979163445,50,1080,1920,horizontal,Mozilla,15,13,4g,Netscape,,60,3,True,18.0,Win32
30,16,24,1602400725573,13,42,991,0.4147301161605987,50,1080,1920,horizontal,Mozilla,12,12,4g,Netscape,,52,3,False,21.0,Win64
31,12,24,1602400686558,9,28,1307,0.3739302613944335,50,1080,1920,horizontal,Mozilla,7,20,4g,Netscape,,28,1,True,104.0,Win64
